,id,questionnaire_id,user_id,question_id,answer_text,question_option_id,created_at,updated_at,16,17,18,19,20,21,22,23,24,25,26
82,2114,2,113,22,,17,2021-05-17 14:58:18,2021-05-17 14:58:18,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan
83,2113,2,113,21,,15,2021-05-17 14:58:18,2021-05-17 14:58:18,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
84,2112,2,113,20,,13,2021-05-17 14:58:18,2021-05-17 14:58:18,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
85,2111,2,113,19,,11,2021-05-17 14:58:18,2021-05-17 14:58:18,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
86,2110,2,113,18,,9,2021-05-17 14:58:18,2021-05-17 14:58:18,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
87,2109,2,113,17,,7,2021-05-17 14:58:18,2021-05-17 14:58:18,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
88,1760,2,113,25,,23,2021-05-07 14:41:45,2021-05-07 14:41:45,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
89,1759,2,113,24,,21,2021-05-07 14:41:45,2021-05-07 14:41:45,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
90,1758,2,113,23,,19,2021-05-07 14:41:45,2021-05-07 14:41:45,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
91,1757,2,113,22,,17,2021-05-07 14:41:45,2021-05-07 14:41:45,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan
92,1756,2,113,21,,27,2021-05-07 14:41:45,2021-05-07 14:41:45,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan
93,1755,2,113,20,,13,2021-05-07 14:41:45,2021-05-07 14:41:45,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
94,1754,2,113,19,,11,2021-05-07 14:41:45,2021-05-07 14:41:45,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
95,1753,2,113,18,,9,2021-05-07 14:41:45,2021-05-07 14:41:45,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
96,1752,2,113,17,,7,2021-05-07 14:41:45,2021-05-07 14:41:45,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
97,1751,2,113,16,,5,2021-05-07 14:41:45,2021-05-07 14:41:45,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
98,1750,2,113,26,,25,2021-05-05 14:10:45,2021-05-05 14:10:45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
