,Unnamed: 0,id,questionnaire_id,user_id,question_id,answer_text,question_option_id,created_at,updated_at,16,17,18,19,20,21,22,23,24,25,26,wereable
94,94,1754,2,113,19,,11,2021-05-07 14:41:45,2021-05-07 14:41:45,,,,0.0,,,,,,,,W001
93,93,1755,2,113,20,,13,2021-05-07 14:41:45,2021-05-07 14:41:45,,,,,0.0,,,,,,,W001
92,92,1756,2,113,21,,27,2021-05-07 14:41:45,2021-05-07 14:41:45,,,,,,1.0,,,,,,W001
91,91,1757,2,113,22,,17,2021-05-07 14:41:45,2021-05-07 14:41:45,,,,,,,0.0,,,,,W001
90,90,1758,2,113,23,,19,2021-05-07 14:41:45,2021-05-07 14:41:45,,,,,,,,0.0,,,,W001
88,88,1760,2,113,25,,23,2021-05-07 14:41:45,2021-05-07 14:41:45,,,,,,,,,,0.0,,W001
71,71,1877,2,113,20,,13,2021-05-10 16:24:02,2021-05-10 16:24:02,,,,,0.0,,,,,,,W001
65,65,1883,2,113,26,domingo 9/5/2021 falta de aire  mocos y dolor leve en el pecho al toser tarde mucho mejor. lunes 10/05/2021.dolor intermitente en sienes lado izquierdo como jaquecas por la tarde mucho mejor.hoy no me e  inyectado  enoxaparina.mañana me toca consulta día 11/05/2021. se lo comentaré al doctor y el por qué,25,2021-05-10 16:24:02,2021-05-10 16:24:02,,,,,,,,,,,0.0,W001
68,68,1880,2,113,23,,29,2021-05-10 16:24:02,2021-05-10 16:24:02,,,,,,,,3.0,,,,W001
69,69,1879,2,113,22,,17,2021-05-10 16:24:02,2021-05-10 16:24:02,,,,,,,0.0,,,,,W001
70,70,1878,2,113,21,,29,2021-05-10 16:24:02,2021-05-10 16:24:02,,,,,,3.0,,,,,,W001
72,72,1876,2,113,19,,11,2021-05-10 16:24:02,2021-05-10 16:24:02,,,,0.0,,,,,,,,W001
73,73,1875,2,113,18,,9,2021-05-10 16:24:02,2021-05-10 16:24:02,,,0.0,,,,,,,,,W001
74,74,1874,2,113,17,,7,2021-05-10 16:24:02,2021-05-10 16:24:02,,0.0,,,,,,,,,,W001
75,75,1873,2,113,16,,28,2021-05-10 16:24:02,2021-05-10 16:24:02,2.0,,,,,,,,,,,W001
67,67,1881,2,113,24,,21,2021-05-10 16:24:02,2021-05-10 16:24:02,,,,,,,,,0.0,,,W001
66,66,1882,2,113,25,,23,2021-05-10 16:24:02,2021-05-10 16:24:02,,,,,,,,,,0.0,,W001
